SuccessFlag cost index outport
0.0 0.0 784 -1.0
0.0 0.0 785 -1.0
0.0 0.0 786 -1.0
0.0 0.0 787 -1.0
0.0 0.0 788 -1.0
0.0 0.0 789 -1.0
1.0 2.0 790 0.0
1.0 2.0 791 0.0
1.0 3.0 792 15.0
1.0 2.0 793 0.0
0.0 0.0 794 -1.0
0.0 0.0 795 -1.0
0.0 0.0 796 -1.0
0.0 0.0 797 -1.0
1.0 2.0 798 18.0
0.0 0.0 799 -1.0
1.0 2.0 800 19.0
0.0 0.0 801 -1.0
1.0 3.0 802 22.0
0.0 0.0 803 -1.0
1.0 3.0 804 21.0
0.0 0.0 805 -1.0
0.0 0.0 806 -1.0
1.0 3.0 807 24.0
0.0 0.0 808 -1.0
0.0 0.0 809 -1.0
0.0 0.0 810 -1.0
0.0 0.0 811 -1.0
1.0 3.0 812 21.0
1.0 3.0 813 26.0
0.0 0.0 814 -1.0
0.0 0.0 815 -1.0
0.0 0.0 816 -1.0
1.0 3.0 817 16.0
0.0 0.0 818 -1.0
0.0 0.0 819 -1.0
0.0 0.0 820 -1.0
0.0 0.0 821 -1.0
1.0 3.0 822 26.0
0.0 0.0 823 -1.0
1.0 2.0 824 11.0
1.0 3.0 825 26.0
0.0 0.0 826 -1.0
0.0 0.0 827 -1.0
1.0 3.0 828 13.0
1.0 2.0 829 0.0
0.0 0.0 830 -1.0
0.0 0.0 831 -1.0
1.0 2.0 832 12.0
0.0 0.0 833 -1.0
0.0 0.0 834 -1.0
0.0 0.0 835 -1.0
1.0 3.0 836 26.0
0.0 0.0 837 -1.0
1.0 2.0 838 22.0
0.0 0.0 839 -1.0
1.0 3.0 840 16.0
1.0 3.0 841 11.0
1.0 2.0 842 12.0
1.0 2.0 843 8.0
1.0 3.0 844 21.0
0.0 0.0 845 -1.0
0.0 0.0 846 -1.0
0.0 0.0 847 -1.0
0.0 0.0 848 -1.0
0.0 0.0 849 -1.0
1.0 2.0 850 18.0
1.0 2.0 851 0.0
1.0 2.0 852 26.0
0.0 0.0 853 -1.0
0.0 0.0 854 -1.0
0.0 0.0 855 -1.0
0.0 0.0 856 -1.0
1.0 2.0 857 0.0
0.0 0.0 858 -1.0
1.0 2.0 859 0.0
1.0 2.0 860 18.0
1.0 2.0 861 20.0
0.0 0.0 862 -1.0
0.0 0.0 863 -1.0
1.0 3.0 864 13.0
0.0 0.0 865 -1.0
0.0 0.0 866 -1.0
0.0 0.0 867 -1.0
0.0 0.0 868 -1.0
0.0 0.0 869 -1.0
1.0 2.0 870 0.0
1.0 2.0 871 0.0
0.0 0.0 872 -1.0
1.0 2.0 873 11.0
1.0 2.0 874 23.0
0.0 0.0 875 -1.0
1.0 2.0 876 0.0
0.0 0.0 877 -1.0
1.0 2.0 878 0.0
1.0 2.0 879 0.0
0.0 0.0 880 -1.0
1.0 2.0 881 27.0
0.0 0.0 882 -1.0
0.0 0.0 883 -1.0
0.0 0.0 884 -1.0
0.0 0.0 885 -1.0
1.0 2.0 886 22.0
0.0 0.0 887 -1.0
1.0 2.0 888 15.0
0.0 0.0 889 -1.0
0.0 0.0 890 -1.0
0.0 0.0 891 -1.0
1.0 2.0 892 9.0
0.0 0.0 893 -1.0
0.0 0.0 894 -1.0
0.0 0.0 895 -1.0
0.0 0.0 896 -1.0
1.0 2.0 897 12.0
1.0 2.0 898 0.0
0.0 0.0 899 -1.0
0.0 0.0 900 -1.0
0.0 0.0 901 -1.0
1.0 2.0 902 0.0
1.0 3.0 903 9.0
0.0 0.0 904 -1.0
0.0 0.0 905 -1.0
1.0 2.0 906 24.0
1.0 3.0 907 11.0
0.0 0.0 908 -1.0
0.0 0.0 909 -1.0
1.0 2.0 910 27.0
0.0 0.0 911 -1.0
1.0 2.0 912 0.0
0.0 0.0 913 -1.0
0.0 0.0 914 -1.0
0.0 0.0 915 -1.0
1.0 2.0 916 8.0
0.0 0.0 917 -1.0
0.0 0.0 918 -1.0
1.0 3.0 919 16.0
0.0 0.0 920 -1.0
1.0 2.0 921 15.0
1.0 2.0 922 11.0
1.0 3.0 923 26.0
1.0 3.0 924 26.0
1.0 3.0 925 25.0
0.0 0.0 926 -1.0
0.0 0.0 927 -1.0
0.0 0.0 928 -1.0
0.0 0.0 929 -1.0
1.0 3.0 930 26.0
1.0 2.0 931 10.0
1.0 2.0 932 0.0
1.0 2.0 933 0.0
1.0 3.0 934 13.0
0.0 0.0 935 -1.0
1.0 3.0 936 21.0
0.0 0.0 937 -1.0
0.0 0.0 938 -1.0
1.0 2.0 939 0.0
0.0 0.0 940 -1.0
1.0 3.0 941 16.0
0.0 0.0 942 -1.0
1.0 3.0 943 11.0
0.0 0.0 944 -1.0
0.0 0.0 945 -1.0
0.0 0.0 946 -1.0
0.0 0.0 947 -1.0
1.0 3.0 948 13.0
1.0 3.0 949 23.0
0.0 0.0 950 -1.0
1.0 2.0 951 18.0
1.0 2.0 952 0.0
1.0 2.0 953 0.0
1.0 2.0 954 0.0
0.0 0.0 955 -1.0
1.0 2.0 956 27.0
1.0 2.0 957 20.0
